provider_name,type_of_care,address,city,state,zip,phone
Cottage Kids Children's Center,Child Care Center,2796 Cottage Way,Sacramento,CA,95825,(916) 979-2011
Little Scholars Preschool,Child Care Center,1605 Kimball Rd,Red Bluff,CA,96080,(530) 527-3932
"Williams, V & L., Santiago, C. Family Child Care",Family Child Care Home,,Spring Valley,CA,91977,(619) 479-8694
Koala Kubhouse Childcare Home,Family Child Care Home,,Murrieta,CA,92563,(619) 250-6067
Harrison Family Day Care,Family Child Care Home,,Santee,CA,92071,(619) 562-8925
Prestige Preschool Academy,Child Care Center,520 West Baseline Road,Claremont,CA,91711,(909) 399-0081
Concordia Church and School,Child Care Center,1695 Discovery Falls Drive,Chula Vista,CA,91915,(619) 656-8100
Palomar Family YMCA- Bernardo ,Child Care Center,1122 Mountain Heights Dr.,Escondido,CA,92029,(760) 745-7490
Palomar Family YMCA- Reidy Creek,Child Care Center,2870 N. Broadway,Escondido,CA,92026,(760) 745-7490
KCE Champions LLC at Sunrise Elementary,Child Care Center,11824 Cobble Brook Drive,Rancho Cordova,CA,95742,(916) 294-0061
New Montessori School,Child Care Center,15243 E. Nelson Avenue,La Puente,CA,91744,(626) 369-4335
"Ramirez, Maria Elena Family Child Care",Family Child Care Home,,San Diego,CA,92124,(858) 565-6591
The Dolphin Club,Child Care Center,155 Eastshore,Irvine,CA,92604,(949) 651-0152
The Growing Place Montessori,Child Care Center,13242 Pomerado Road,Poway,CA,92064,(858) 679-1554
Temple Beth El Child Development Center,Child Care Center,2675 Central Ave.,Riverside,CA,92506,(951) 682-7282
Kiddies Korner Montessori School,Child Care Center,8748 Goldcoast Dr.,San Diego,CA,92126,(858) 578-9740
Poway Unified School District - Pomerado Elementary School ESS,Child Care Center,12321 Ninth Street,Poway,CA,92064,(858) 521-2800
Tutor Time Child Care Learning Center,Child Care Center,7191 Boulder Ave,Highland,CA,92346,(909) 864-0829
Project SAFE at Carlton Hills,Child Care Center,9352 Pike Road,Santee,CA,92071,(619) 258-2369
Rainbow Early Learning Center,Child Care Center,20819 Parthenia St.,Winnetka,CA,91306,(818) 993-0424
Jennings Dymphna Family Childcare,Family Child Care Home,,Chula Vista,CA,91914,(619) 616-8527
Eastlake Community Church Preschool,Child Care Center,2351 Otay Lakes Rd,Chula Vista,CA,91915,(619) 421-4156
Erica's Lil Tikes Child Care,Family Child Care Home,,San Diego,CA,92124,(619) 841-8170
"Chez Grand Mere, Inc",Child Care Center,1510 West Almond Ave,Orange,CA,92862,(714) 634-8118
Jones Olivetta Russell,Family Child Care Home,,San Diego,CA,92113,(619) 237-1246
Santee School District @ Rio Seco,Child Care Center,9545 Cuyamaca Street,Santee,CA,92071,(619) 258-2235
St. Michael Preschool,Child Care Center,2637 Homedale Street,San Diego,CA,92139,(619) 472-5437
Temecula Valley Unified School District BASES,Child Care Center,45754 Wolf Creek Drive North,Temecula,CA,92592,(951) 506-7061
Childtime Children's Center @ World Trade,Child Care Center,One World Trade Center Ste 199,Long Beach,CA,90831,(562) 437-7498
Emerson Child Development Center,Child Care Center,2625 Josie Ave,Long Beach,CA,90815,(562) 421-8210
Green Family Child Care,Family Child Care Home,,Perris,CA,92570,(956) 657-7700
Sonshine Factory,Child Care Center,44509 20th St. W,Lancaster,CA,93534,(661) 949-3550
Santee School District - Chet F. Harritt School,Child Care Center,8120 Arlette Street,Santee,CA,92071,(619) 258-2369
Pinecrest Schools - Lancaster,Child Care Center,2110 West Ave K,Lancaster,CA,93536,(661) 723-0366
Discoveries Learning Center,Child Care Center,4519 Hollister Ave,Santa Barbara,CA,93110,(805) 683-3001
Bright Horizons at 221 Main Street,Child Care Center,221 Main St,San Francisco,CA,94105,(415) 495-1706
Faith Day Care Center,Child Care Center,505 East Bonita Ave,San Dimas,CA,91773,(909) 599-0783
East County Christian Preschool,Child Care Center,10701 N. Magnolia Ave.,Santee,CA,92071,(619) 258-2029
Bright Horizons at Garner,Child Care Center,2275 North Loop Rd,Alameda,CA,94502,(510) 769-5437
Bright Horizons at San Clemente,Child Care Center,2015 Calle Frontera,San Clemente,CA,92673,(949) 492-5555
Childtime Children's Center,Child Care Center,7901 Laguna Blvd,Elk Grove,CA,95758,(916) 691-3800
The Phoenix Schools (Carmichael),Child Care Center,2921 Garfield Avenue,Carmichael,CA,95608,(916) 481-6144
St. Mary's Preschool,Child Care Center,130 East. 13th Ave.,Escondido,CA,92025,(760) 743-1275
The Goddard School,Child Care Center,10710 Bear Hollow Dr,Rancho Cordova,CA,95670,(916) 861-0906
The Grey Rabbit Preschool Inc,Child Care Center,4539 Palm Ave,La Mesa,CA,91941,(619) 697-1551
Sandra Lechuga,Family Child Care Home,,Atascadero,CA,93422,(805) 466-8537
Center For Young Imaginations,Child Care Center,4885 Harbinson Ave,La Mesa,CA,91942,(619) 461-5408
"Miramontes, Carina Family Child Care",Family Child Care Home,,Chula Vista,CA,91910,(619) 934-1564
North Park Christian Preschool,Child Care Center,2901 North Park Way,San Diego,CA,92104,(619) 220-0372
Bright Horizons Encinitas,Child Care Center,1430 Amargosa,Encinitas,CA,92024,(760) 942-0500
Yahjian Family Child Care,Family Child Care Home,,La Canada Flintridge,CA,91011,(818) 957-6369
Bright Horizons at Dublin,Child Care Center,7035 Dublin Blvd,Dublin,CA,94568,(925) 479-9573
Marisa Martinez Family Child Care,Family Child Care Home,,Chula Vista,CA,91911,(619) 585-7424
Good Shepherd Preschool,Child Care Center,4800 Irvine Center Drive,Irvine,CA,92604,(949) 552-1967
YMCA Of Metro LA- North Valley,Child Care Center,11629 Indian Hills Rd,Mission Hills,CA,91345,(818) 368-3231
The Learning Center,Child Care Center,1570 Marion St.,Kingsburg,CA,93631,(559) 897-7928
Debbie Galvez Family Childcare,Family Child Care Home,,San Diego,CA,92139,(619) 267-8105
Scripps Tender Loving Care,Family Child Care Home,,San Diego,CA,92131,(858) 621-0631
Arroyos Family Child Care,Family Child Care Home,,Murrieta,CA,92563,(760) 505-0937
My Room to Grow Preschool,Child Care Center,13613 Cynthia Ln.,Poway,CA,92064,(858) 776-1468
"Ramirez, Cruz Family Child Care",Family Child Care Home,,Oceanside,CA,92057,(760) 613-3501
Patricia Delgado Family Child Care,Family Child Care Home,,Chula Vista,CA,91914,(619) 656-9615
Coronado Baptist Child Care Center,Child Care Center,111 Orange Ave.,Coronado,CA,92118,(619) 435-8121
The Phoenix Schools (Carmichael),Child Care Center,2920 Garfield Avenue,Carmichael,CA,95608,(916) 481-6144
The Grey Rabbit Preschool Inc,Child Care Center,4542 Palm Ave,La Mesa,CA,91941,(619) 697-1551
YMCA Of Metro LA- North Valley,Child Care Center,11630 Indian Hills Rd,Mission Hills,CA,91345,(818) 368-3231
Anne Sullivan Preschool and Kindergarten,Child Care Center,21776 Palomar St.,Wildomar,CA,92595,(951) 678-3557
"Juarez, Sherry",Family Child Care Home,,National City,CA,91950,(619) 263-9955
Portside Montessori,Child Care Center,2700 Linden Road,West Sacramento,CA,95691,(916) 372-7838
Tutor Time,Child Care Center,5309 Beach Blvd,Buena Park,CA,90621,(714) 690-0112
KCE Champions LLC at Marengo Ranch Elementary,Child Care Center,1000 Elk Hills Drive,Galt,CA,95632,(916) 753-7001
Bussey Family Child Care,Family Child Care Home,,Temecula,CA,92592,(951) 240-7853
"Johnson, Keysha Licensed Family Child Care",Family Child Care Home,,San Diego,CA,92114,(619) 512-1540
Step by Step Christian Preschool & Infant Center,Child Care Center,755 Civic Center Drive,Vista,CA,92084,(760) 941-8991
Pinecrest Schools,Child Care Center,4974 Cochran Ave,Simi Valley,CA,93063,(805) 527-6015
Hordagoda Roshini Sivapriya,Family Child Care Home,,Woodland Hills,CA,91637,(818) 887-0852
Marisol Cochran Day Care,Family Child Care Home,,Oceanside,CA,92056,(760) 295-6826
Palomar Community College ECE Lab School,Child Care Center,1140 W Mission Road,San Marcos,CA,92069,(760) 744-1150
Maryvale Early Education Center,Child Care Center,7600 E Graves Ave,Rosemead,CA,91770,(626) 537-3316
Child Prodigy,Family Child Care Home,,National City,CA,91950,(619) 534-5385
R Lil Angels Day care ,Family Child Care Home,,Antioch,CA,94509,(925) 727-5268
Deborah Eaton,Family Child Care Home,,Spring Valley,CA,91977,(619) 466-8340
Katie's Kids,Family Child Care Home,,Chula Vista,CA,91913,(619) 656-2272
Martha Family Child Care,Family Child Care Home,,San Diego,CA,92104,(619) 283-5269
LiL Giggles Daycare,Family Child Care Home,,San Diego,CA,92154,(619) 869-4177
Tutor Time Learning Center,Child Care Center,25804 Hemingway Avenue,Stevenson Ranch,CA,91381,(661) 799-1990
Penny & Peggy Nairn 24 Hour Childcare ,Child Care Center,9216 N. Columbus Ave,North Hills,CA,91342,(818) 652-7618
Penny And Peggy Nairn 24 Hour Childcare,Child Care Center,15300 Dearborn,North Hills,CA,91343,(818) 652-7618
Kountry Kids Preschool,Child Care Center,224 S. Shepherd St.,Sonora,CA,95370,(209) 533-1500
Bright Horizons Del Mar,Child Care Center,3720 Arroyo Sorrento Rd,San Diego,CA,92130,(858) 509-0419
Childtime Children's Center,Child Care Center,1000 S State College Blvd,Anaheim,CA,92806,(714) 772-7225
Kids Care Club,Child Care Center,40665 Winchester Rd,Temecula,CA,92591,(951) 296-9456
Margarita's Child Care,Family Child Care Home,,San Diego,CA,92105,(619) 563-1982
4th R-H. Allen Hights,Child Care Center,3200 North Park Drive,Sacramento,CA,95835,(916) 566-6422
"Medina, Mary Family Child Care",Family Child Care Home,,San Diego,CA,92110,(619) 251-6067
"Abdullah, Donna Family Child Care",Family Child Care Home,,San Diego,CA,92117,(858) 278-0260
Bowers Child Development Infant Program,Child Care Center,1840 Benton Ave,Santa Clara,CA,95050,(408) 423-1115
Susan Ronquillo Family Child Care,Family Child Care Home,,Spring Valley,CA,91977,(619) 890-4282
Montessori School of San Diego,Child Care Center,1323 W. Spruce St.,San Diego,CA,92103,(619) 295-7591
Merryhill School-Karitsa,Child Care Center,2855 Karitsa Avenue,Sacramento,CA,95833,(916) 575-9603
Budnie Skelton,Family Child Care Home,,Sacramento,CA,95832,(916) 397-0495
Y's Kids Linwood/Visalia YMCA,Child Care Center,3129 S. Lindwood,Visalia,CA,93277,(559) 627-0700
Peregrine Project,Child Care Center,2907 Portage Bay West,Davis,CA,95616,(530) 753-5500
All Day Fun & Play Preschool & Child Care Center ,Child Care Center,2220 Pennsylvania Ave,Fairfield,CA,94533,(707) 639-8566
Apple Valley Child Care,Child Care Center,18609 Corwin Road,Apple Valley,CA,92307,(760) 242-5437
Kiddie Academy of Vacaville,Child Care Center,880 Alamo Dr,Vacaville,CA,95688,(707) 446-4222
Del Mar Union School District,Child Care Center,13555 Boquita Dr,Del Mar,CA,92014,(858) 793-0071
"Garcia, Maria Family Child Care",Family Child Care Home,,Spring Valley,CA,91977,(619) 267-8025
One World Montessori School ,Child Care Center,2495 Cabrillo Avenue,Santa Clara,CA,95051,(408) 615-1254
Canyon Montessori Center,Child Care Center,761 S Weir Canyon Road,Anaheim Hills,CA,92808,(714) 974-1365
All Saints Episcopal School Preschool,Child Care Center,3674 Seventh Ave.,San Diego,CA,92103,(619) 298-0313
Greer Family Child Care,Family Child Care Home,,Winchester,CA,92596,(951) 452-6345
Childtime Children's Center ,Child Care Center,6635 Alhambra Ave Suite 300,Martinez,CA,94553,(925) 947-6800
Jones-Bennett Family Child Care,Family Child Care Home,,Perris,CA,92571,(951) 940-5735
Cynthia Inez-Punogin,Family Child Care Home,,Palmdale,CA,93550,(661) 998-0037
Saddleback Valley YMCA,Child Care Center,23072 Avenida Empressa,Rancho Santa Margarita,CA,92688,(949) 380-3502
Crystal Lotz,Family Child Care Home,,Yucca Valley,CA,92284,(760) 369-0618
La Petite Academy,Child Care Center,623 W Baseline Rd.,Rialto,CA,92376,(909) 874-5113
Patricia Cruz,Family Child Care Home,,San Diego,CA,92117,(858) 974-1509
Evelyn Martin,Family Child Care Home,,Vallejo,CA,94589,(707) 645-0774
La Costa Valley Preschool & Kindergarten,Child Care Center,2276 Calle Barcelona,Carlsbad,CA,92009,(760) 436-2797
Debra Ann Angelone,Family Child Care Home,,Lake Elsinore,CA,92530,(951) 471-2547
Rita Ruiz Family Child Care,Family Child Care Home,,Lemon Grove,CA,91945,(619) 713-0399
Adriana Hernandez,Family Child Care Home,,Menifee,CA,92584,(951) 679-9799
Cheryl Miller Family Child Care,Family Child Care Home,,San Diego,CA,92119,(619) 644-8711
Maria Jones,Family Child Care Home,,San Diego,CA,92139,(619) 721-5679
"Alvarado, Olga Family Child Care",Family Child Care Home,,El Cajon,CA,92020,(619) 440-2048
Happy DayCare for Infants and Toddlers,Family Child Care Home,,San Diego,CA,92104,(619) 646-4155
Goshen Day Care,Family Child Care Home,,Visalia,CA,93291,(559) 651-3353
Lake Elsinore USD Child Care Program,Child Care Center,520 Chaney St,Lake Elsinore,CA,92530,(951) 253-7055
Sommers Family Childcare,Family Child Care Home,,Atascadero,CA,93422,(805) 466-0933
Ghislaine Francis Staden,Family Child Care Home,,San Jose,CA,95132,(408) 263-2466
Kent Family Child Care,Family Child Care Home,,Vista,CA,92081,(760) 727-8463
La Petite Academy @ Carmel Mountain,Child Care Center,10050 Carmel Mtn. Rd.,San Diego,CA,92129,(858) 484-2654
Lockett Family Child Care,Family Child Care Home,,San Diego,CA,92114,(619) 581-4829
Priscilla Blancarte,Family Child Care Home,,Cathedral City,CA,92234,(760) 416-7770
KinderCare Education at Work LLC,Child Care Center,24000 Avila Rd. Ste 3409,Laguna Niguel,CA,92677,(949) 360-2004
McGaugh Elementary Extended Daycare,Child Care Center,1698 Bolsa Avenue,Seal Beach,CA,90740,(562) 799-4700
"Dawson, Tamra Family Child Care",Family Child Care Home,,El Cajon,CA,92019,(619) 334-1314
Maria Casas,Family Child Care Home,,Cardiff,CA,92007,(760) 917-1114
The Wunderkind Corp,Family Child Care Home,,San Ramon,CA,94582,(925) 230-8614
"Las Posas Children's Center, Inc. ",Child Care Center,8880 Halifax St.,Ventura,CA,93004,(805) 644-4344
Vandyke Family Daycare,Family Child Care Home,,Corona,CA,92883,(951) 277-3912
Waugh Kids Care - Preschool,Child Care Center,880 Maria Dr,Petaluma,CA,94954,(707) 762-0202
Sonia Terriquez Family Day Care,Family Child Care Home,,Chula Vista,CA,91911,(619) 476-0244
KinderCare Learning Center LLC,Child Care Center,4514 Lark Ellen Dr,Covina,CA,91722,(626) 332-4001
Linton Family Child Care,Family Child Care Home,,Ramona,CA,92065,(760) 789-7047
South Bay YMCA - MC Millin Elementary,Child Care Center,1201 Santa Cora Ave,Chula Vista,CA,91913,(619) 421-9622
Melba Whitaker,Family Child Care Home,,Sacramento,CA,95831,(916) 393-3603
Lewis Family Child Care,Family Child Care Home,,Rancho Cucamonga,CA,91730,(909) 477-3332
Lifetime Montessori,Child Care Center,14727 Camino de la Luna,San Diego,CA,92127,(858) 759-0631
South Hills CommunityChurch,Child Care Center,2584 S. Main Street,Corona,CA,92881,(951) 734-4455
Holy Family Preschool / Daycare Center,Child Care Center,7817 Old Auburn Road,Citrus Heights,CA,95610,(916) 722-4620
La Petite Academy - Rancho Cordova,Child Care Center,11378 Coloma Rd,Gold River,CA,95670,(916) 638-5423
Angels Nest Child Development Center,Child Care Center,475 Florin Rd.,Sacramento,CA,95831,(916) 428-4651
"Cabana, Sarah & Jack Jr. Family Child Care",Family Child Care Home,,Chula Vista,CA,91910,(619) 207-0012
Bay Christian School,Child Care Center,4720 Evora Rd,Concord,CA,94520,(925) 458-9872
Saddleback Valley YMCA - Las Flores,Child Care Center,25862 Antonio Pkwy,Las Flores,CA,92688,(949) 380-3502
Robert H. Lange Preschool,Child Care Center,24772 Chrisanta Drive,Mission Viejo,CA,92691,(949) 837-2500
"Cadence Education, Inc  Clarksville ",Child Care Center,76 Clarksville Road,Folsom,CA,95630,(916) 983-0224
FSD Preschool at Discovery School,Child Care Center,7500 Vaquero Avenue,Bakersfield,CA,93308,(661) 589-3830
Merryhill School,Child Care Center,7335 Park City Drive,Sacramento,CA,95831,(916) 424-2299
Alphabet Soup Childcare,Child Care Center,1224 Cottonwood Street,Woodland,CA,95695,(530) 666-4859
Kristina Nevarez,Family Child Care Home,,Lemon Grove,CA,91945,(619) 309-7230
"Mendoza, Michelle & Steven",Family Child Care Home,,San Jose,CA,95148,(408) 274-6181
Maricruz Vera,Family Child Care Home,,Woodland,CA,95695,(530) 668-1676
Childtime Children's Center Inc ,Child Care Center,12421 Springdale St,Garden Grove,CA,92845,(714) 894-4250
STAR Creekside Oaks,Child Care Center,2030 First St Room 9,Lincoln,CA,95648,(916) 434-8085
So. Bay Fam. YMCA - Heritage,Child Care Center,1450 Santa Lucia Rd,Chula Vista,CA,91913,(619) 421-9622
Highland Ranch ESS,Child Care Center,14840 Waverly Downs Way,San Diego,CA,92128,(858) 521-2800
Los Alamitos Child Development Center/LAE & Extended Day,Child Care Center,10862 Bloomfield St,Los Alamitos,CA,90720,(562) 799-4700
Ella Hughes,Family Child Care Home,,Seaside,CA,93955,(831) 917-3053
Carrillo Family Child Care,Family Child Care Home,,Victorville,CA,92392,(760) 951-9009
Mulberry Tree Preschool,Child Care Center,13841 E. Christine Dr.,Whittier,CA,90605,(562) 696-5114
Rainbow Canyon Preschool & Day Care,Child Care Center,4122 Chino Avenue,Chino,CA,91710,(909) 591-4476
Alpine Country Day School,Child Care Center,1508 Midway Drive,Alpine,CA,91901,(619) 445-3333
Christ Community Preschool,Child Care Center,25382 Mackenzie,Laguna Hills,CA,92653,(949) 586-5030
Irlanda Ramos,Family Child Care Home,,San Diego,CA,92113,(619) 266-4305
Amasha Griffin,Family Child Care Home,,Apple Valley,CA,92308,(760) 247-5027
House's Family Daycare,Family Child Care Home,,Fallbrook,CA,92028,(760) 645-3303
YMCA Metropolitan of Los Angeles,Child Care Center,23350 Justice Street,West Hills,CA,91304,(818) 999-2006
Catalina M. Espino,Family Child Care Home,,Murrieta,CA,92563,(760) 212-7933
Kimberly Gillespie Family Daycare Home,Family Child Care Home,,San Diego,CA,92139,(619) 434-7475
Zenaida Mendoza-Lopez,Family Child Care Home,,Mather,CA,95655,(916) 362-4008
Joyful Hearts Learning Center,Child Care Center,9590 Chocolate Summit Dr,El Cajon,CA,92021,(619) 561-4777
Poway Unified School District - Morning Creek ESS,Child Care Center,10925 Morning Creek Dr. S.,San Diego,CA,92128,(858) 521-2800
Messiah Lutheran Chruch,Child Care Center,4861 Liverpool St.,Yorba Linda,CA,92886,(714) 528-8632
CCLC - Capital City ,Child Care Center,744 P. Street,Sacramento,CA,95814,(916) 444-0029
Anchondo Family Chile Care,Family Child Care Home,,Glendora,CA,91740,(626) 347-5112
Tutor Time,Child Care Center,610 E Dunne Ave,Morgan Hill,CA,95037,(408) 778-1977
Tiny Fingers and Toes,Family Child Care Home,,San Marcus,CA,92069,(760) 877-3434
A Sunny Daycare,Family Child Care Home,,san diego ,CA,92123,(858) 569-4901
Extended Day Child Care - Frederiksen,Child Care Center,7243 Tamarack Drive,Dublin,CA,94568,(925) 833-0127
Rocking Horse Ranch Preschool,Child Care Center,4134 Fairway Dr.,Soquel,CA,95073,(831) 462-2702
Maureen Vasquez,Child Care Center,4500 Redwood Road,Oakland,CA,94619,(510) 531-1302
Bright Corner FCC,Family Child Care Home,,National City,CA,91950,(619) 479-3762
Francisca Harris,Family Child Care Home,,Chula Vista,CA,91915,(619) 781-8212
Healthy Toddlers Care,Family Child Care Home,,San Diego,CA,92115,(619) 582-4557
Maryvale,Child Care Center,2502 E Huntington Dr,Duarte,CA,91010,(626) 357-1514
Elysa Carter,Family Child Care Home,,Sacramento,CA,95833,(916) 504-0785
La Petite Academy,Child Care Center,999 E Teague,Fresno,CA,93720,(559) 431-7330
Shell Beach YMCA,Child Care Center,2100 Shell Beach Road,Shell Beach,CA,93449,(805) 773-1439
Happy Tots Montessori School & Infant Center,Child Care Center,1518 Pacific Coast Hwy,Harbor City,CA,90710,(310) 891-6080
Coast Kids Preschool,Child Care Center,1330 Poinsettia Ln,Carlsbad,CA,92011,(760) 579-4190
Nelson Family Child Care,Family Child Care Home,,Norwalk,CA,90650,(562) 219-0040
Ceballos Family Child Care,Family Child Care Home,,Temecula,CA,92592,(951) 553-1681
Temecula Valley Unified School District BASES at Tony Tobin,Child Care Center,45200 Morgan Hill Drive,Temecula,CA,92592,(951) 506-7061
Children's Castle,Child Care Center,1052 E Madison Ave,El Cajon,CA,92021,(619) 593-6090
School Time Montessori,Child Care Center,10235 Wells Avenue,Riverside,CA,92503,(951) 689-1151
Garcia Family Child Care,Family Child Care Home,,Whittier,CA,90601,(562) 508-9177
Merryhill Country School at Elk Grove,Child Care Center,6613 Laguna Park Dr.,Elk Grove,CA,95758,(916) 684-4044
Next Generation Educational Center,Child Care Center,1467 Granite Hills,El Cajon,CA,92019,(619) 441-8800
Egoavil Family Child Care,Family Child Care Home,,Alhambra,CA,91801,(626) 458-9021
Sandra Delucchi Family Daycare,Family Child Care Home,,Chula Vista,CA,91915,(619) 656-8441
"Washington, Elainea Family Child Care",Family Child Care Home,,Spring Valley,CA,91977,(619) 646-9905
Temecula Montessori Academy,Child Care Center,27633  Jefferson Avenue,Temecula,CA,92590,(951) 676-6464
"Sanabia, Rosa Family Child Care",Family Child Care Home,,Chula Vista,CA,91910,(619) 730-6799
"Millan, Griselda and Raul Family Child Care",Family Child Care Home,,San Diego,CA,92154,(619) 227-5908
Amy Child Care,Family Child Care Home,,West Sacramento,CA,96591,(916) 376-0839
"Kelley, Deborah Family Childcare",Family Child Care Home,,San Diego,CA,92114,(619) 697-8284
Progressive Play Preschool,Child Care Center,16315 Bear Valley Road,Hesperia,CA,92345,(760) 956-4960
World Changers Academy,Child Care Center,466 East H St.,Dixon,CA,95620,(707) 365-5639
Glenna Shire,Family Child Care Home,,Roseville,CA,95661,(916) 788-0526
Building Kidz School,Child Care Center,254 East Dana Street,Mountain View,CA,94041,(650) 967-8000
Pilavian Family Child Care,Family Child Care Home,,Granada Hills,CA,91344,(818) 366-9392
Montessori Children's House of Lemon Grove,Family Child Care Home,,San Diego,CA,92114,(619) 825-5557
"Barnes, Renee Family Child Care Home",Family Child Care Home,,Susanville,CA,96130,(530) 257-0873
Rook Family Child Care,Family Child Care Home,,Menifee,CA,92585,(951) 246-3267
Judy Joulios,Family Child Care Home,,San Francisco,CA,94080,(650) 755-3067
"Webster, Karen",Family Child Care Home,,San Jose,CA,95136,(408) 360-9978
"Villalpando, Maria",Family Child Care Home,,San Jose,CA,95127,(408) 254-2332
"Haney, Christy Family Child Care",Family Child Care Home,,Clouis,CA,93611,(559) 761-4761
Irene Saliba,Family Child Care Home,,Rancho Santa margarita,CA,92688,(949) 589-7098
Lighthouse Early Childhood Center,Child Care Center,5055 Governor Dr,San Diego,CA,92122,(858) 292-8253
Meher Montessori School,Child Care Center,2011 S. Garfield Ave.,Monterey Park,CA,91754,(323) 724-0683
Miller Family Child Care,Family Child Care Home,,Winnetka,CA,91306,(818) 347-2866
"Coleman, Tiffany Family Childcare",Family Child Care Home,,Oceanside,CA,92057,(760) 978-5275
Academy on The Hills,Child Care Center,10 Mareblu,Aliso Viejo,CA,92656,(949) 360-7022
Marconi Montessori School,Child Care Center,5619 Marconi Ave,Carmichael,CA,95608,(916) 488-5619
Baldonado Family Child Care,Family Child Care Home,,Murrieta,CA,92563,(951) 246-3867
"Beede, Julia Liza Family Child Care",Family Child Care Home,,Oceanside,CA,92057,(760) 231-7073
Maribel Carrillo,Family Child Care Home,,National City,CA,91950,(619) 527-8412
Smith Family Child Care,Family Child Care Home,,Wildomar,CA,92595,(957) 246-9942
Lorine's Learning Academy,Child Care Center,702 W. 16th Street,San Bernardino,CA,92405,(909) 883-6040
Rise N Shine Preschool,Child Care Center,9449 Winter Gardens Blvd,Lakeside,CA,92040,(619) 390-0200
Amador Family Child Care,Family Child Care Home,,Los Angeles,CA,90047,(323) 756-7122
Canino Family Child Care,Family Child Care Home,,Menifee,CA,92584,(951) 244-8667
Tutor Time Child Care/Learning Center,Child Care Center,1551 Bristol St North,Newport Beach,CA,92660,(949) 955-2672
"Butticci, Michelle Family Child Care",Family Child Care Home,,Merced,CA,95340,(209) 723-5333
Munchkin Kare,Family Child Care Home,,Fresno,CA,93727,(559) 453-2902
Poway Hilltop Preschool,Child Care Center,12348-B Casa Avenida Rd,Poway,CA,92064,(858) 486-6712
Fullerton Child Development Center,Child Care Center,1701 E. Chapman,Fullerton,CA,92831,(714) 526-7855
Tutor Time Child Care/Learning Center,Child Care Center,24291 Avila Road,Laguna Niguel,CA,92677,(949) 831-8887
Melissa Holmquist,Family Child Care Home,,Temecula,CA,92592,(951) 587-8437
"Mehrabli, Cefrelyn Family Child Care",Family Child Care Home,,Oceanside,CA,92057,(760) 439-7905
Mayer Family Child Care,Family Child Care Home,,Palmdale,CA,93552,(661) 285-5077
Cortez Family Child Care,Family Child Care Home,,Alhambra,CA,91801,(626) 282-2094
Bonnie Cole Family Day Care,Family Child Care Home,,Long Beach,CA,90806,(562) 492-6162
"Acosta, Martha Family Child Care",Family Child Care Home,,San Diego,CA,92154,(619) 906-8173
"Lopez, Erika Family Child Care",Family Child Care Home,,Chula Vista,CA,91910,(619) 415-4310
The Nest House,Family Child Care Home,,Oceanside,CA,92058,(442) 888-4554
Jones Family Daycare,Family Child Care Home,,Hemet,CA,92545,(951) 345-3561
Hands Together A Center for Children,Child Care Center,201 E Civic Ctr Dr,Santa Ana,CA,92701,(714) 485-9221
Laranjo Family Child Care Home - Phyllis,Family Child Care Home,,Fulton,CA,95439,(707) 528-8303
Judith Camacho & Angel Corona,Family Child Care Home,,Sacramento,CA,95834,(916) 283-6068
"Heights Christian School, LaMirada Campus",Child Care Center,12200 Oxford Drive,LaMirada,CA,90638,(562) 902-1779
Tahoe Forest Children's Center,Child Care Center,10121 Pine Avenue,Truckee,CA,96160,(530) 582-3572
Donna Urtiaga,Family Child Care Home,,Palm Desert,CA,92211,(760) 341-2499
Kinderkirk Preschool and Daycare Center,Child Care Center,1111 Vallecito Road,Carpinteria,CA,93013,(805) 684-4070
Carmel Mountain Pre-School,Child Care Center,9512 Carmel Mountain Road,San Diego,CA,92129,(858) 484-4877
"Schummer, Veronica Family Child Care",Family Child Care Home,,Chula Vista,CA,91910,(619) 422-6584
"Castro, Maricela & Carlos Family Child Care",Family Child Care Home,,Chula Vista,CA,91910,(619) 422-6613
"Garcia, Leticia & Rene Family Child Care",Family Child Care Home,,Chula Vista,CA,91911,(619) 426-1513
"Tanabe, Sylvia Family Day Care",Family Child Care Home,,Lemon Grove,CA,91945,(619) 697-6519
Fleur De Lis Nursery School,Child Care Center,3743 Front St,San Diego,CA,92103,(619) 295-6781
Mi Escuelita Family Child Care,Family Child Care Home,,National City,CA,91950,(619) 474-8371
Anjis Day Care,Family Child Care Home,,Menifee,CA,92584,(951) 746-3256
Maxwell Family Child Care,Family Child Care Home,,Winchester,CA,92596,(951) 550-7083
"Pastenes, Erica Family Child Care",Family Child Care Home,,Chula Vista,CA,91910,(619) 964-6578
Renascence School International,Child Care Center,2987 Mesa Verde East,Costa Mesa,CA,92626,(714) 783-7070
Juanetta Perkins,Family Child Care Home,,Atascadero,CA,93422,(805) 712-9611
Hernandez Family Child Care,Family Child Care Home,,Temecula,CA,92592,(951) 303-8461
California Young World #5,Child Care Center,1110 Fairwood Ave,Sunnyvale,CA,94089,(408) 245-7285
 YMCA- Castro,Child Care Center,505 Escuela Ave,Mountian View,CA,94043,(408) 351-6465
YMCA -Monta Loma Kids Place,Child Care Center,460 Thompson Ave.,Santa Clara,CA,94043,(408) 351-6479
YMCA Kid's Place- Almond,Child Care Center,550 Almond Ave,Los Altos,CA,94024,(408) 351-6465
Jenkins Foster Family Home,Family Child Care Home,,Menifee,CA,92584,(951) 795-3010
